movie_title,budget_mil,revenue_mil,duration,content_rating,imdb_score,genres,movie_facebook_likes,revenue_reduced
Batman v Superman: Dawn of Justice ,250,330.249062,183,PG-13,6.9,Action|Adventure|Sci-Fi,197000,230.249062
Captain America: Civil War ,250,407.197282,147,PG-13,8.2,Action|Adventure|Sci-Fi,72000,307.197282
Star Trek Beyond ,185,130.468626,122,PG-13,7.5,Action|Adventure|Sci-Fi|Thriller,30000,130.468626
The Legend of Tarzan ,180,124.051759,110,PG-13,6.6,Action|Adventure|Drama|Romance,29000,124.051759
X-Men: Apocalypse ,178,154.985087,144,PG-13,7.3,Action|Adventure|Sci-Fi,54000,154.985087
Suicide Squad ,175,161.087183,123,PG-13,6.9,Action|Adventure|Comedy|Sci-Fi,80000,161.087183
The Jungle Book ,175,362.645141,106,PG,7.8,Adventure|Drama|Family|Fantasy,65000,262.645141
Independence Day: Resurgence ,165,102.315545,120,PG-13,5.5,Action|Adventure|Sci-Fi,67000,102.315545
Alice Through the Looking Glass ,170,76.846624,113,PG,6.4,Adventure|Family|Fantasy,30000,76.846624
Warcraft ,160,46.978995,123,PG-13,7.3,Action|Adventure|Fantasy,89000,46.978995
The Legend of Tarzan ,180,124.051759,110,PG-13,6.6,Action|Adventure|Drama|Romance,29000,124.051759
Ghostbusters ,144,118.099659,116,PG-13,5.5,Action|Comedy|Fantasy|Sci-Fi,62000,118.099659
Kung Fu Panda 3 ,145,143.523463,95,PG,7.2,Action|Adventure|Animation|Comedy|Family,24000,143.523463
Gods of Egypt ,140,31.141074,126,PG-13,5.5,Action|Adventure|Fantasy,24000,31.141074
The BFG ,140,52.792307,117,PG,6.8,Adventure|Family|Fantasy,27000,52.792307
Jason Bourne ,120,108.521835,123,PG-13,7.1,Action|Thriller,31000,108.521835
The Huntsman: Winter's War ,115,47.95202,120,PG-13,6.1,Action|Adventure|Drama|Fantasy,16000,47.95202
Teenage Mutant Ninja Turtles: Out of the Shadows ,135,81.638674,112,PG-13,6.3,Action|Adventure|Comedy|Sci-Fi,12000,81.638674
Allegiant ,110,66.002193,120,PG-13,5.8,Action|Adventure|Mystery|Sci-Fi|Thriller,12000,66.002193
Ben-Hur ,0,0,141,PG-13,6.1,Adventure|Drama|History,0,0
Now You See Me 2 ,90,64.685359,129,PG-13,6.9,Action|Adventure|Comedy|Crime|Mystery|Thriller,15000,64.685359
The Secret Life of Pets ,75,323.50554,87,PG,6.8,Animation|Comedy|Family,36000,223.50554
The Angry Birds Movie ,73,107.225164,97,PG,6.3,Action|Animation|Comedy|Family,14000,107.225164
The Finest Hours ,0,27.550735,117,PG-13,6.8,Action|Drama|History|Thriller,12000,27.550735
London Has Fallen ,60,62.401264,99,R,5.9,Action|Crime|Drama|Thriller,28000,62.401264
Deadpool ,58,363.024263,108,R,8.1,Action|Adventure|Comedy|Romance|Sci-Fi,117000,263.024263
Central Intelligence ,50,126.088877,107,PG-13,6.6,Action|Comedy|Crime,10000,126.088877
13 Hours ,50,52.822418,144,R,7.4,Action|Drama|Thriller|War,44000,52.822418
Free State of Jones ,50,20.389967,139,R,6.7,Action|Biography|Drama|History|War,10000,20.389967
Zoolander 2 ,50,28.837115,102,PG-13,4.8,Comedy,28000,28.837115
The Infiltrator ,25,14.946229,127,R,7.3,Biography|Crime|Drama|Thriller,0,14.946229
The Conjuring 2 ,40,102.310175,134,R,7.8,Horror|Mystery|Thriller,40000,102.310175
Ride Along 2 ,40,90.83503,102,PG-13,5.9,Action|Comedy,0,90.83503
The 5th Wave ,38,34.912982,112,PG-13,5.2,Action|Adventure|Sci-Fi|Thriller,14000,34.912982
How to Be Single ,38,46.813366,110,R,6.1,Comedy|Romance,15000,46.813366
Neighbors 2: Sorority Rising ,35,55.291815,92,R,6,Comedy,0,55.291815
Criminal ,31.5,14.268533,113,R,6.3,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,0,14.268533
Ghostbusters ,144,118.099659,116,PG-13,5.5,Action|Comedy|Fantasy|Sci-Fi,62000,118.099659
Sausage Party ,19,0,89,R,7.5,Adventure|Animation|Comedy|Fantasy,13000,0
The Boss ,29,63.034755,99,R,5.3,Comedy,0,63.034755
Florence Foster Jenkins ,29,0,110,PG-13,7.1,Biography|Comedy|Drama|Music|Romance,0,0
Pride and Prejudice and Zombies ,28,10.907291,108,PG-13,5.8,Action|Horror|Romance,73000,10.907291
The Jungle Book ,175,362.645141,106,PG,7.8,Adventure|Drama|Family|Fantasy,65000,262.645141
Money Monster ,27,41.008532,98,R,6.7,Crime|Drama|Thriller,0,41.008532
Eddie the Eagle ,23,15.785632,106,PG-13,7.5,Biography|Comedy|Drama|Sport,15000,15.785632
Jane Got a Gun ,25,1.512815,98,R,5.8,Action|Drama|Western,0,1.512815
Eddie the Eagle ,23,15.785632,106,PG-13,7.5,Biography|Comedy|Drama|Sport,15000,15.785632
Our Kind of Traitor ,0,3.108216,108,R,6.4,Thriller,0,3.108216
"Hail, Caesar! ",22,29.997095,106,PG-13,6.4,Comedy|Mystery,23000,29.997095
Me Before You ,20,56.154094,110,PG-13,7.6,Drama|Romance,51000,56.154094
Bad Moms ,20,55.461307,100,R,6.7,Comedy,18000,55.461307
Risen ,20,36.874745,107,PG-13,6.3,Action|Adventure|Drama|Mystery,21000,36.874745
Nerve ,20,28.876924,96,PG-13,7.1,Adventure|Crime|Mystery|Sci-Fi|Thriller,0,28.876924
Triple 9 ,20,12.626905,115,R,6.3,Action|Crime|Drama|Thriller,0,12.626905
Hands of Stone ,20,0,105,R,7.2,Action|Biography|Drama|Sport,0,0
Indignation ,0,0.560512,110,R,7.8,Drama,599,0.560512
My Big Fat Greek Wedding 2 ,18,59.573085,94,PG-13,6.1,Comedy|Family|Romance,19000,59.573085
Midnight Special ,18,3.707794,112,PG-13,6.7,Adventure|Drama|Sci-Fi|Thriller,0,3.707794
I Am Wrath ,18,0,92,R,5.2,Action|Crime|Drama|Thriller,0,0
The Young Messiah ,18.5,6.462576,111,PG-13,5.4,Drama,0,6.462576
Bad Moms ,20,55.461307,100,R,6.7,Comedy,18000,55.461307
Ben-Hur ,100,0,141,PG-13,6.1,Adventure|Drama|History,0,0
Keanu ,15,20.566327,100,R,6.4,Action|Comedy,0,20.566327
Miracles from Heaven ,13,61.693523,109,PG,6.8,Drama,16000,61.693523
The Shallows ,17,54.257433,86,PG-13,6.8,Drama|Horror|Thriller,0,54.257433
Dirty Grandpa ,11.5,35.537564,109,R,6,Comedy,11000,35.537564
Misconduct ,11,0,106,R,5.3,Drama|Thriller,0,0
The Purge: Election Year ,10,78.84513,109,R,6.1,Action|Horror|Sci-Fi|Thriller,0,78.84513
The Boy ,10,35.794166,97,PG-13,6,Horror|Mystery|Thriller,20000,35.794166
Pete's Dragon ,65,0,102,PG,7.3,Adventure|Family|Fantasy,21000,0
The Forest ,10,26.583369,93,PG-13,4.8,Horror|Mystery|Thriller,10000,26.583369
The Wailing ,0,0.770629,156,Not Rated,7.7,Fantasy|Horror|Mystery|Thriller,0,0.770629
Kicks ,0,0,80,R,7.8,Adventure,240,0
Mr. Church ,8,0,104,PG-13,8,Drama,205,0
Code of Honor ,8,0,106,R,4.2,Action,689,0
The Neon Demon ,7,1.330827,118,R,7,Horror|Thriller,0,1.330827
10 Cloverfield Lane ,15,71.897215,104,PG-13,7.3,Drama|Horror|Mystery|Sci-Fi|Thriller,33000,71.897215
Lights Out ,4.9,56.536016,81,PG-13,6.9,Horror,0,56.536016
Race ,0,19.097994,134,PG-13,7.1,Biography|Drama|Sport,0,19.097994
Fifty Shades of Black ,5,11.675178,92,R,3.5,Comedy,11000,11.675178
The Perfect Match ,5,9.65837,96,R,4.5,Comedy|Romance,740,9.65837
Yoga Hosers ,5,0,88,PG-13,4.8,Comedy|Fantasy|Horror|Thriller,0,0
The Veil ,4,0,93,R,4.7,Horror,0,0
Ben-Hur ,100,0,141,PG-13,6,Adventure|Drama|History,0,0
The Masked Saint ,3.5,0.123777,105,PG-13,4.7,Action|Biography|Crime|Drama|Family|Fantasy,0,0.123777
Compadres ,3,3.105269,101,R,5,Action|Comedy,174,3.105269
Cabin Fever ,0,0,99,Not Rated,3.7,Horror,2000,0
The Dog Lover ,2,0,101,PG,4.8,Drama,724,0
God's Not Dead 2 ,5,20.77307,120,PG,3.4,Drama,0,20.77307
Fight to the Finish ,0.15,0,94,PG-13,4,Action|Romance|Sport,381,0
Rodeo Girl ,0.5,0,108,PG,5.7,Family,0,0
The Birth of a Nation ,10,0,120,R,5.4,Biography|Drama,0,0
